commitment_id,proposal_title,overlap_theme,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis
2024001,Improve Public Safety By Addressing Serious Mental Illness,mental_health_supportive_housing,follow_on,2023022,"Create 3,500 New Housing Units for Individuals with Mental Illness","theme=mental_health_supportive_housing; shared_terms=illness, mental"
2024002,Open 200 New Psychiatric Inpatient Beds,mental_health_supportive_housing,new,,,
2024003,Establish a Law Enforcement and Mental Health Coordination Team,mental_health_general,new,,,
2024004,Improve Mental Health Admission and Discharge Decisions by Hospitals,psychiatric_capacity,new,,,
2024005,Create New Mental Health Courts and Expand Existing Courts,public_safety_general,new,,,
2024006,Fund Court-Based Mental Health Navigators,mental_health_general,new,,,
2024007,Increase Transitional Housing for Individuals Referred Through Court System,mental_health_supportive_housing,expansion,2023022,"Create 3,500 New Housing Units for Individuals with Mental Illness","theme=mental_health_supportive_housing; shared_terms=housing, individuals"
2024008,Fund New Community-Based Mental Health Teams,mental_health_supportive_housing,continuation,2023044,Expand Medicaid Coverage of Preventative Health Services,theme=mental_health_supportive_housing; shared_terms=health
2024009,Provide More Intensive Supervision of Individuals on Parole,mental_health_general,new,,,
2024010,Fund Specialized Housing for People with Serious Mental Illness and Criminal History,mental_health_supportive_housing,continuation,2023022,"Create 3,500 New Housing Units for Individuals with Mental Illness","theme=mental_health_supportive_housing; shared_terms=housing, illness, mental"
2024011,Provide Crisis Intervention Team Training for Law Enforcement,mental_health_insurance,new,,,
2024012,Provide Critical Care to Young People,mental_health_insurance,new,,,
2024013,Establish a School-Based Mental Health Clinic in Any School That Wants One,mental_health_insurance,continuation,2023017,Expand Insurance Coverage for Mental Health Services,"theme=mental_health_insurance; shared_terms=health, mental"
2024014,Expand Peer-to-Peer Support Programs,mental_health_youth,new,,,
2024015,Establish New Youth ACT Teams Statewide,mental_health_supportive_housing,new,,,
2024016,Expand Access to the Partial Hospitalization and Children's Day Treatment Programs,mental_health_general,new,,,
2024017,Fund Programming for High-Need Transition-Age Youth,mental_health_general,new,,,
2024018,Expand Loan Repayment Program for Children's Mental Health Practitioners,mental_health_general,new,,,
2024019,Limit Social Media Features Harmful to Youth Mental Health,mental_health_youth,continuation,2023018,Expand Mental Health Services for School-Aged Children,"theme=mental_health_youth; shared_terms=health, mental"
2024020,Develop Social Media Resources for Youth and Caregivers,mental_health_general,new,,,
2024021,Convene Youth Mental Health Advisory Boards,mental_health_youth,continuation,2023018,Expand Mental Health Services for School-Aged Children,"theme=mental_health_youth; shared_terms=health, mental"
