commitment_id,proposal_title,overlap_theme,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis
2025140,Expand Intensive and Sustained Engagement Teams,mental_health_supportive_housing,expansion,2024015,Establish New Youth ACT Teams Statewide,theme=mental_health_supportive_housing; shared_terms=teams
2025141,Create a Hospital-Based Peer Bridger Program,mental_health_supportive_housing,continuation,2024008,Fund New Community-Based Mental Health Teams,theme=mental_health_supportive_housing; shared_terms=based
2025142,Add Street Medicine and Psychiatry to Safe Options Support Teams,health_care_general,new,,,
2025143,Expand the Network of Clubhouse Programs and Youth Safe Spaces,mental_health_supportive_housing,expansion,2024015,Establish New Youth ACT Teams Statewide,theme=mental_health_supportive_housing; shared_terms=youth
2025144,Provide High School Students with Teen Mental Health First Aid Training,health_care_general,continuation,2024072,Expand Mental Health Screenings,"theme=health_care_general; shared_terms=health, mental"
2025145,Support Youth Mental Health in After-School Programs,mental_health_youth,continuation,2024021,Convene Youth Mental Health Advisory Boards,"theme=mental_health_youth; shared_terms=health, mental, youth"
2025146,Improve Diagnoses for Children with Complex Clinical Needs,health_care_general,follow_on,2024167,Modernize Vital Records to Meet the Needs of New Yorkers,theme=health_care_general; shared_terms=needs
2025147,Hold Health Insurance Companies Accountable,mental_health_insurance,continuation,2024024,Require Increased Commercial Insurance Reimbursement Rates for Mental Health Services,"theme=mental_health_insurance; shared_terms=health, insurance"
2025148,Support Community-Determined Wellness in Historically Marginalized Neighborhoods,health_care_general,new,,,
2025149,Sustain the Reproductive Freedom and Equity Grant Fund,reproductive_rights,new,,,
2025150,Strengthen Reproductive Healthcare Infrastructure,reproductive_rights,new,,,
2025151,Fairly Reimburse Providers for Abortion Services,reproductive_rights,new,,,
2025152,Safeguard Abortion as Emergency Medical Care,reproductive_rights,new,,,
2025153,Protect the Identity of Medication Abortion Prescribers,reproductive_rights,new,,,
2025154,Extend the Safety Net Transformation Program,health_care_general,continuation,2024145,Launch a Healthcare Safety Net Transformation Program,"theme=health_care_general; shared_terms=net, program, safety, transformation"
2025155,Expand Access to Infertility Treatments,medicaid_coverage,expansion,2024158,Expand Access to Quality Dental Care,theme=medicaid_coverage; shared_terms=access
2025156,Increase Access to Lifesaving Obesity Drugs,medicaid_coverage,expansion,2024068,Establish New Oversight Mechanisms to Avoid Unnecessary C-Sections,theme=medicaid_coverage; shared_terms=
2025157,Ensure Access to Emergency Medical Services,primary_care_and_ems,follow_on,2024148,Modernize Emergency Medical Services,"theme=primary_care_and_ems; shared_terms=emergency, medical, services"
2025158,Expand Access to Dental Care,health_care_general,expansion,2024169,Invest in Clinical Care and Research for Rare Diseases,theme=health_care_general; shared_terms=care
2025159,Strengthen Reporting Requirements for Healthcare Investors,health_care_general,continuation,2024145,Launch a Healthcare Safety Net Transformation Program,theme=health_care_general; shared_terms=healthcare
2025160,Build New Health Planning and Data Transparency Capacity,medicaid_coverage,continuation,2024155,Improve Transparency of Home Care Services,theme=medicaid_coverage; shared_terms=transparency
2025161,Remove Unnecessary Restrictions on Healthcare Workers,medicaid_coverage,continuation,2024152,Sustain and Retain Healthcare Workers,"theme=medicaid_coverage; shared_terms=healthcare, workers"
2025162,Expand Access to Air Conditioning Units for People with Chronic Conditions,medicaid_coverage,expansion,2024158,Expand Access to Quality Dental Care,theme=medicaid_coverage; shared_terms=access
2025163,Advance Health Equity for Justice-Involved Youth,alternatives_reentry,new,,,
2025164,Address Social Needs to Improve Health Equity and Outcomes,medicaid_coverage,follow_on,2024161,Increase the Affordability of New York State of Health Insurance Options,theme=medicaid_coverage; shared_terms=health
2025165,Reduce Health Disparities Through Value-Based Payments,medicaid_coverage,continuation,2024161,Increase the Affordability of New York State of Health Insurance Options,theme=medicaid_coverage; shared_terms=health
2025166,Advance Integrated Care for Better Health Outcomes,aging_long_term_care,continuation,2024157,Expand Coverage for Health-Related Social Needs,theme=aging_long_term_care; shared_terms=health
2025167,Update and Improve Network Adequacy Requirements,health_care_general,new,,,
2025168,Revamp and Improve Customer Experience on New York's Health Plan Marketplace,medicaid_coverage,follow_on,2024161,Increase the Affordability of New York State of Health Insurance Options,theme=medicaid_coverage; shared_terms=health
