id,year,title,lead_agencies,supporting_agencies,reasons
2022119,2022,Launch a Billion-Dollar Plan to Assist Small Businesses,DOT,,DOT:no_keyword_overlap
2023076,2023,"Establish the Office of Semiconductor Expansion, Management and Integration",HCR; DOL; DEC; Empire State Development; DOT; Public Service Commission / DPS,,HCR:no_keyword_overlap
2024059,2024,Enact a Tax Abatement for New Rental and Affordable Housing in New York City,Empire State Development,,Empire State Development:no_keyword_overlap
