year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes
2025,2025StateoftheStateBook.pdf,Chapter 7: Making Government Work Better 60,Chapter 7: Making Government Work Better 60,Expand and Extend Public Broadband and Cell Service,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 7: Making Government Work Better 60,Chapter 7: Making Government Work Better 60,Provide Artificial Intelligence Upskilling for State Workforce,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Building Opportunities for Homeownership,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Provide Starter Home Innovation Funding,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Support First-Time Homebuyers' Down Payment Assistance,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Create an Affordable Homebuyer Tax Incentive,,,program/governance,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Disincentivize Bulk Purchases of Homes by Institutional Investor,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Strengthen Laws and Policies to Combat Home Appraisal Discrimination,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Unlocking Local Development,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Create a Pro-Housing Supply Infrastructure Fund,HCR,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Provide Communities Technical Assistance to Be Pro-Housing,HCR,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Streamline Environmental Review for Modest Housing Development,HCR,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Strengthening Investment in Communities,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Launch New York State's First Mixed-Income Revolving Loan Fund,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Double New York State Low Income Housing Credits,HCR,,other,yes,Double,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Unlock Historic Tax Credits by Decoupling and Expanding Eligibility,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Empower Communities to Redevelop Vacant Properties into Housing,HCR,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Expand Affordable Farmworker Housing,HCR,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Protecting Housing Affordability,HCR,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Ban Collusion Using of Algorithm-Enabled Rent Price Fixing,,,legislation/regulation,no,,legislation_required,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Reduce Shelter Rent Taxes for Mitchell-Lama Residents,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Expand Capital to Maintain and Improve Supportive Housing,HCR,OMH,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Increase Funding for Supportive Housing,HCR,OMH,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Extend Security Deposit Protections to Rent-Regulated Tenants,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 8: Growing Housing to Drive Affordability 69,Chapter 8: Growing Housing to Drive Affordability 69,Help Affordable Housing Access Captive Insurance to Lower Costs,HCR,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 9: Cutting Commutes 78,Chapter 9: Cutting Commutes 78,Make the Biggest Capital Investment in New York's Transportation History,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 9: Cutting Commutes 78,Chapter 9: Cutting Commutes 78,Advance Second Avenue Subway and Other Major Transit Improvements,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 9: Cutting Commutes 78,Chapter 9: Cutting Commutes 78,Enhance Subway Safety with Expanded Security and Outreach Measures,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 9: Cutting Commutes 78,Chapter 9: Cutting Commutes 78,Invest in New York Roads and Statewide Transit,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 9: Cutting Commutes 78,Chapter 9: Cutting Commutes 78,"Modernize Rail Service for Faster, More Reliable Travel",,,legislation/regulation,no,,legislation_required,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 9: Cutting Commutes 78,Chapter 9: Cutting Commutes 78,Reconnect Communities in Albany and the Bronx,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Fight Back Against Algorithmic Price Discrimination,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Standardize Returns and Refunds,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Enhance Oversight of Buy Now Pay Later Loans,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Strengthen Subscription Cancellation and Renewal Protections,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Bolster Protections Against Overdraft and Non-Sufficient Funds Fees,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Hold Energy Service Companies Accountable for Revenue Return,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 10: Protecting Consumers 83,Chapter 10: Protecting Consumers 83,Combat Elder Financial Exploitation,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Trafficking,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Require Access to Trained Forensic Medical Examiners at All Hospitals,,,legislation/regulation,no,,legislation_required,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Increase Funding for Rape Crisis Programs,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Expand Statewide Targeted Reductions in Intimate Partner Violence,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Dispossess Domestic Violence Abusers of Firearms,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Create Safer Workplaces for Survivors of Gender-Based Violence,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Improve Access to Public Assistance for Survivors of Gender-Based Violence,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Eliminate the Statute of Limitations for Sex Trafficking Cases,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Add Classification of Intellectual Disability as a Means of Trafficking,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Modernize Mental Hygiene Law to Expand Access to Care,,,legislation/regulation,no,,legislation_required,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Streamline County Oversight and Enhance Funding,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Expand Intensive and Sustained Engagement Teams,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Create a Hospital-Based Peer Bridger Program,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Add Street Medicine and Psychiatry to Safe Options Support Teams,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Expand the Network of Clubhouse Programs and Youth Safe Spaces,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Provide High School Students with Teen Mental Health First Aid Training,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Support Youth Mental Health in After-School Programs,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Improve Diagnoses for Children with Complex Clinical Needs,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Hold Health Insurance Companies Accountable,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Support Community-Determined Wellness in Historically Marginalized Neighborhoods,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Ensuring Access to Abortion,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Sustain the Reproductive Freedom and Equity Grant Fund,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Strengthen Reproductive Healthcare Infrastructure,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Fairly Reimburse Providers for Abortion Services,,,funding/tax/benefit,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Safeguard Abortion as Emergency Medical Care,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Protect the Identity of Medication Abortion Prescribers,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Improving the Health of All New Yorkers,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Extend the Safety Net Transformation Program,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Expand Access to Infertility Treatments,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Increase Access to Lifesaving Obesity Drugs,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Ensure Access to Emergency Medical Services,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Expand Access to Dental Care,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Strengthen Reporting Requirements for Healthcare Investors,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Build New Health Planning and Data Transparency Capacity,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Remove Unnecessary Restrictions on Healthcare Workers,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Expand Access to Air Conditioning Units for People with Chronic Conditions,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Advance Health Equity for Justice-Involved Youth,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Address Social Needs to Improve Health Equity and Outcomes,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Reduce Health Disparities Through Value-Based Payments,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Advance Integrated Care for Better Health Outcomes,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Update and Improve Network Adequacy Requirements,,,legislation/regulation,no,,legislation_required,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 13: Investing in Health 98,Chapter 13: Investing in Health 98,Revamp and Improve Customer Experience on New York's Health Plan Marketplace,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
